SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,PRI_COM_NAME_INDXD,AUTHORITY_CODE,AUTHORITY_VER,TAXON_ORDER,SPARSE_REPORT_AS,REPORT_AS,CATEGORY,ORDER1,FAMILY,EXTINCT,EXTINCT_YEAR,TAXON_CODE
woofin1,Camarhynchus pallidus,Woodpecker Finch,"Finch, Woodpecker",EBIRD,2017.02,29291.84,,woofin1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011020
yelori1,Icterus nigrogularis,Yellow Oriole,"Oriole, Yellow",EBIRD,2017.02,30338.09,,yelori1,species,Passeriformes,Icteridae (Troupials and Allies),0,,TC011562
criros1,Platycercus elegans [elegans Group],Crimson Rosella (Crimson),"Rosella, Crimson (Crimson)",EBIRD,2017.02,11587.77547,criros2,criros2,issf,Psittaciformes,Psittaculidae (Old World Parrots),0,,TC002879
shibrc2,Chrysococcyx lucidus layardi,Shining Bronze-Cuckoo (New Caledonian),"Cuckoo, Shining Bronze- (New Caledonian)",EBIRD,2017.02,6930.8,shbcuc1,shbcuc1,issf,Cuculiformes,Cuculidae (Cuckoos),0,,TC003249
camind1,Vidua camerunensis,Cameroon Indigobird,"Indigobird, Cameroon",EBIRD,2017.02,32171,,camind1,species,Passeriformes,Viduidae (Indigobirds),0,,TC012207
chbcot1,Doliornis remseni,Chestnut-bellied Cotinga,"Cotinga, Chestnut-bellied",EBIRD,2017.02,15123,,chbcot1,species,Passeriformes,Cotingidae (Cotingas),0,,TC006469
gyhwoo1,Dendropicos spodocephalus,Mountain Gray Woodpecker,"Woodpecker, Mountain Gray",EBIRD,2017.02,11021,,gyhwoo1,species,Piciformes,Picidae (Woodpeckers),0,,TC004922
sieela2,Elaenia pallatangae olivina/davidwillardi,Sierran Elaenia (Roraiman),"Elaenia, Sierran (Roraiman)",EBIRD,2017.02,13976,sieela1,sieela1,issf,Passeriformes,Tyrannidae (Tyrant Flycatchers),0,,TC005975
alaant1,Myrmotherula snowi,Alagoas Antwren,"Antwren, Alagoas",EBIRD,2017.02,13129,,alaant1,species,Passeriformes,Thamnophilidae (Typical Antbirds),0,,TC005622
bkwcus1,Lalage melaschistos,Black-winged Cuckooshrike,"Cuckooshrike, Black-winged",EBIRD,2017.02,17242,,bkwcus1,species,Passeriformes,Campephagidae (Cuckooshrikes),0,,TC007212
mouchi2,Phylloscopus sindianus,Mountain Chiffchaff,"Chiffchaff, Mountain",EBIRD,2017.02,22009,,mouchi2,species,Passeriformes,Phylloscopidae (Leaf Warblers),0,,TC008609
marwre,Cistothorus palustris,Marsh Wren,"Wren, Marsh",EBIRD,2017.02,21276,,marwre,species,Passeriformes,Troglodytidae (Wrens),0,,TC008392
vesspa,Pooecetes gramineus,Vesper Sparrow,"Sparrow, Vesper",EBIRD,2017.02,29984.31,,vesspa,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011223
ywcpar,Amazona ochrocephala,Yellow-crowned Parrot,"Parrot, Yellow-crowned",EBIRD,2017.02,11589.95,,ywcpar,species,Psittaciformes,Psittacidae (New World and African Parrots),0,,TC003176
